,image,xmin,ymin,xmax,ymax,class
1480,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,317,214,327,234,Softdrusen
1481,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,338,208,349,226,Softdrusen
1482,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,237,241,256,255,Geographicatrophy
1483,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,199,277,235,299,Softdrusen
1484,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,239,262,255,298,Softdrusen
1485,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,260,265,279,294,Softdrusen
1486,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,281,262,300,292,Softdrusen
1487,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,299,265,313,288,Softdrusen
1488,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,317,258,335,281,Softdrusen
1489,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,338,245,362,271,Softdrusen
1490,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 20.png,391,220,408,242,Softdrusen
1491,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 21.png,230,271,256,294,Softdrusen
1492,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 21.png,263,264,282,292,Softdrusen
1493,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 21.png,285,263,298,291,Softdrusen
1494,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 21.png,302,261,319,283,Softdrusen
1495,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 21.png,325,251,342,273,Softdrusen
1496,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 21.png,349,223,406,269,PRlayerdisruption
1497,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 22.png,222,249,241,269,Harddrusen
1498,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 22.png,253,245,269,269,Softdrusen
1499,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 22.png,278,242,313,266,Softdrusen
1500,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 22.png,323,221,356,247,Softdrusen
1501,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,160,223,180,248,Harddrusen
1502,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,219,231,230,254,Harddrusen
1503,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,231,208,267,253,SoftdrusenPED
1504,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,276,211,294,244,SoftdrusenPED
1505,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,317,215,330,234,Harddrusen
1506,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,293,201,316,242,Softdrusen
1507,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,184,236,195,250,Harddrusen
1508,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 8.png,203,233,218,252,Harddrusen
1509,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,192,222,215,257,Softdrusen
1510,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,216,236,228,256,Harddrusen
1511,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,229,222,252,257,Softdrusen
1512,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,253,236,265,255,Harddrusen
1513,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,269,227,283,252,Harddrusen
1514,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,285,212,309,249,Softdrusen
1515,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,308,219,322,244,Harddrusen
1516,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,326,214,345,235,Softdrusen
1517,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 9.png,182,234,192,258,Harddrusen
1518,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,199,252,284,270,Geographicatrophy
1519,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,357,208,379,238,Softdrusen
1520,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,300,205,311,215,Hyperfluorescentspots
1521,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,309,201,319,211,Hyperfluorescentspots
1522,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,200,240,211,250,Hyperfluorescentspots
1523,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,204,234,215,244,Hyperfluorescentspots
1524,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,345,216,355,241,Harddrusen
1525,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,298,217,345,259,Softdrusen
1526,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,279,228,298,261,Softdrusen
1527,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,267,239,280,265,Harddrusen
1528,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 10.png,119,232,157,254,Softdrusen
1529,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 11.png,180,240,264,260,Geographicatrophy
1530,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 11.png,154,225,178,248,Softdrusen
1531,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 11.png,257,228,274,251,Harddrusen
1532,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 11.png,293,206,315,242,Softdrusen
1533,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 11.png,315,204,334,236,Softdrusen
1534,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 11.png,347,206,358,225,Harddrusen
1535,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 11.png,271,229,283,249,Harddrusen
1536,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,126,235,136,269,Harddrusen
1537,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,137,235,159,269,Harddrusen
1538,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,154,246,193,284,Geographicatrophy
1539,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,234,237,261,274,SoftdrusenPED
1540,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,258,242,273,273,Harddrusen
1541,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,236,240,270,264,SoftdrusenPED
1542,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,159,238,311,267,PRlayerdisruption
1543,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,363,214,386,234,SoftdrusenPED
1544,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,273,249,310,266,Geographicatrophy
1545,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,160,253,187,274,Geographicatrophy
1546,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,138,244,157,257,Softdrusen
1547,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,123,244,135,256,Softdrusen
1548,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,394,203,405,217,Harddrusen
1549,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,429,201,440,211,Harddrusen
1550,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,445,194,455,204,Harddrusen
1551,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,265,236,321,275,Geographicatrophy
1552,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,353,206,385,240,SoftdrusenPED
1553,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 13.png,390,199,403,226,Harddrusen
1554,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,135,231,154,270,Harddrusen
1555,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,147,241,195,284,Geographicatrophy
1556,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,213,249,243,272,Softdrusen
1557,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,390,200,412,223,SoftdrusenPED
1558,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,370,219,384,234,SoftdrusenPED
1559,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,135,229,339,270,PRlayerdisruption
1560,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,136,240,154,261,SoftdrusenPED
1561,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,216,250,245,265,SoftdrusenPED
1562,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,265,252,278,265,Softdrusen
1563,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,303,242,316,257,Softdrusen
1564,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,303,231,314,241,Hyperfluorescentspots
1565,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,286,228,296,238,Hyperfluorescentspots
1566,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,128,217,138,227,Hyperfluorescentspots
1567,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,407,176,417,186,Hyperfluorescentspots
1568,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,154,258,196,274,Geographicatrophy
1569,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,279,249,308,267,Geographicatrophy
1570,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,106,239,117,249,Harddrusen
1571,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,421,205,431,215,Harddrusen
1572,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,433,200,443,210,Harddrusen
1573,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,259,245,280,273,Softdrusen
1574,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,299,237,317,263,Harddrusen
1575,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,275,243,309,272,Geographicatrophy
1576,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,367,206,384,236,SoftdrusenPED
1577,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 14.png,385,192,413,230,SoftdrusenPED
1578,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,122,249,136,277,Softdrusen
1579,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,136,253,147,280,Harddrusen
1580,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,143,244,166,285,Softdrusen
1581,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,187,263,209,287,Softdrusen
1582,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,210,251,227,290,SoftdrusenPED
1583,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,148,268,189,285,Geographicatrophy
1584,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,298,255,335,279,Geographicatrophy
1585,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,133,244,337,287,PRlayerdisruption
1586,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,209,253,234,282,SoftdrusenPED
1587,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,245,261,265,282,SoftdrusenPED
1588,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,266,259,288,279,SoftdrusenPED
1589,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,293,266,306,276,Softdrusen
1590,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,143,244,165,278,SoftdrusenPED
1591,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,128,257,143,269,Softdrusen
1592,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,375,231,387,243,Softdrusen
1593,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,365,238,376,249,Harddrusen
1594,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,414,215,424,227,Harddrusen
1595,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,226,265,236,288,SoftdrusenPED
1596,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,244,258,266,291,SoftdrusenPED
1597,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,267,257,286,286,SoftdrusenPED
1598,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 15.png,296,253,338,282,Geographicatrophy
1599,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,95,243,116,270,Softdrusen
1600,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,119,250,149,275,Softdrusen
1601,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,246,258,261,290,SoftdrusenPED
1602,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,262,266,275,286,Harddrusen
1603,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,273,266,292,286,Geographicatrophy
1604,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,248,242,348,283,PRlayerdisruption
1605,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,275,275,292,287,Geographicatrophy
1606,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,299,261,338,276,Geographicatrophy
1607,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,246,262,262,282,SoftdrusenPED
1608,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,386,221,396,236,Softdrusen
1609,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,361,238,372,250,Harddrusen
1610,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,414,213,424,224,Harddrusen
1611,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,486,181,497,191,Harddrusen
1612,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,460,192,471,202,Harddrusen
1613,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,430,205,441,215,Harddrusen
1614,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,192,276,205,286,Harddrusen
1615,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,177,270,189,280,Harddrusen
1616,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,156,266,166,276,Harddrusen
1617,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,139,262,150,272,Harddrusen
1618,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,104,255,115,265,Harddrusen
1619,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,90,253,100,263,Harddrusen
1620,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,220,276,230,286,Harddrusen
1621,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,296,256,331,280,Geographicatrophy
1622,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,360,228,371,254,Harddrusen
1623,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 16.png,380,214,396,245,Softdrusen
1624,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,152,265,167,282,Harddrusen
1625,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,169,267,185,283,Harddrusen
1626,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,186,268,199,284,Harddrusen
1627,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,200,253,227,290,Softdrusen
1628,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,230,259,249,290,Softdrusen
1629,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,249,262,263,291,Softdrusen
1630,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,231,262,242,272,Hyperfluorescentspots
1631,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,261,274,298,294,Geographicatrophy
1632,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,308,263,334,284,Geographicatrophy
1633,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,461,193,475,205,Harddrusen
1634,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,350,247,361,262,Harddrusen
1635,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 17.png,380,223,424,252,Softdrusen
1636,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,200,266,217,295,Softdrusen
1637,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,215,256,245,298,Softdrusen
1638,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,245,256,267,302,Softdrusen
1639,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,271,276,282,291,Reticulardrusen
1640,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,264,282,293,298,Geographicatrophy
1641,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,348,232,374,269,Softdrusen
1642,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,384,229,406,245,Harddrusen
1643,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,164,276,179,291,Harddrusen
1644,AMD Part1/AMD (2).E2E/2- 25- 2017 9- 12- 39 PM/Image 18.png,181,274,195,293,Harddrusen
1645,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 5.png,386,239,446,294,Choroidalfolds
1646,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 5.png,455,225,512,271,Choroidalfolds
1647,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 5.png,258,263,378,291,Choroidalfolds
1648,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 10.png,108,174,219,226,Choroidalfolds
1649,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 10.png,245,197,335,224,Choroidalfolds
1650,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 10.png,410,188,455,209,Choroidalfolds
1651,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 10.png,460,163,512,184,Choroidalfolds
1652,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 11.png,417,176,462,207,Choroidalfolds
1653,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 11.png,476,161,512,186,Choroidalfolds
1654,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 11.png,232,194,370,218,Choroidalfolds
1655,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 11.png,147,194,207,224,Choroidalfolds
1656,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 11.png,165,173,182,205,Harddrusen
1657,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 12.png,215,199,365,227,Choroidalfolds
1658,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 12.png,427,190,458,210,Choroidalfolds
1659,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 12.png,467,165,507,210,Choroidalfolds
1660,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 12.png,137,196,197,221,Choroidalfolds
1661,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 12.png,32,166,115,205,Choroidalfolds
1662,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 13.png,205,197,300,223,Choroidalfolds
1663,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 13.png,310,205,388,231,Choroidalfolds
1664,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 13.png,469,177,512,209,Choroidalfolds
1665,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 13.png,127,192,184,221,Choroidalfolds
1666,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 13.png,49,167,81,196,Choroidalfolds
1667,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 2.png,266,127,343,152,Softdrusen
1668,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 2.png,344,122,384,152,Softdrusen
1669,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 2.png,385,121,426,153,Softdrusen
1670,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 2.png,438,132,511,153,Softdrusen
1671,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 3.png,252,126,326,150,Softdrusen
1672,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 3.png,332,130,373,158,Softdrusen
1673,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 3.png,374,129,411,159,Softdrusen
1674,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 3.png,417,137,479,156,Softdrusen
1675,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 4.png,264,114,351,144,Softdrusen
1676,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 4.png,355,124,402,149,Softdrusen
1677,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 4.png,403,116,438,148,Softdrusen
1678,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 4.png,449,124,510,145,Softdrusen
1679,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,79,190,156,234,Choroidalfolds
1680,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,157,212,189,246,Choroidalfolds
1681,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,195,225,243,254,Choroidalfolds
1682,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,321,217,349,248,Choroidalfolds
1683,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,417,203,452,234,SoftdrusenPED
1684,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,392,223,416,236,Softdrusen
1685,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,483,191,512,208,SoftdrusenPED
1686,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,355,231,374,241,Softdrusen
1687,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,289,230,311,241,Softdrusen
1688,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,207,238,237,248,Softdrusen
1689,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,90,209,187,253,SoftdrusenPED
1690,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,340,228,350,240,Harddrusen
1691,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,462,206,474,217,Harddrusen
1692,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,353,217,385,251,Choroidalfolds
1693,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,286,214,309,249,Choroidalfolds
1694,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,388,210,413,248,Choroidalfolds
1695,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,417,194,449,236,SoftdrusenPED
1696,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 6.png,479,178,508,210,SoftdrusenPED
1697,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 7.png,72,187,136,224,Choroidalfolds
1698,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 7.png,147,213,184,240,Choroidalfolds
1699,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 7.png,250,216,290,246,Choroidalfolds
1700,AMD Part1/AMD (3).E2E/2- 25- 2017 9- 13- 55 PM/Image 7.png,67,203,139,228,SoftdrusenPED
